,,song,singer,urls
1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,https://www.youtube.com/watch?v=PxG9XFqHSFw
1973,2,"Bad, Bad Leroy Brown",Jim Croce,https://www.youtube.com/watch?v=ALUgmzI0v3I
1973,3,Killing Me Softly with His Song,Roberta Flack,https://www.youtube.com/watch?v=DEbi_YjpA-Y
1973,4,Let's Get It On,Marvin Gaye,https://www.youtube.com/watch?v=x6QZn9xiuOE
1973,5,My Love,Paul McCartney & Wings,https://www.youtube.com/watch?v=FszrwclD_-Q
1973,6,Why Me,Kris Kristofferson,https://www.youtube.com/watch?v=DgDs_JE4Qcg
1973,7,Crocodile Rock,Elton John,https://www.youtube.com/watch?v=-8PiA0FAYBI
1973,8,Will It Go Round in Circles,Billy Preston,https://www.youtube.com/watch?v=I_e-RQZVwxg
1973,9,You're So Vain,Carly Simon,https://www.youtube.com/watch?v=mQZmCJUSC6g
1973,10,Touch Me in the Morning,Diana Ross,https://www.youtube.com/watch?v=6rQ-p0WnGd8
1973,11,The Night the Lights Went Out in Georgia,Vicki Lawrence,https://www.youtube.com/watch?v=K-qK7oVXVRQ
1973,12,Playground in My Mind,Clint Holmes,https://www.youtube.com/watch?v=Q2xgm03xx2U
1973,13,Brother Louie,Stories,https://www.youtube.com/watch?v=jidMaFbmaok
1973,14,Delta Dawn,Helen Reddy,https://www.youtube.com/watch?v=plXod6zVyIo
1973,15,Me and Mrs. Jones,Billy Paul,https://www.youtube.com/watch?v=uXLEd1R1uKk
1973,16,Frankenstein,The Edgar Winter Group,https://www.youtube.com/watch?v=P8f-Qb-bwlU
1973,17,Drift Away,Dobie Gray,https://www.youtube.com/watch?v=NIuyDWzctgY
1973,18,Little Willy,Sweet,https://www.youtube.com/watch?v=NM6I-pmV0RA
1973,19,You Are the Sunshine of My Life,Stevie Wonder,https://www.youtube.com/watch?v=F8PGHi4TJQM
1973,20,Half-Breed,Cher,https://www.youtube.com/watch?v=t9xTXZwnJUk
1973,21,That Lady,The Isley Brothers,https://www.youtube.com/watch?v=nHp4Nk7fS0k
1973,22,Pillow Talk,Sylvia Robinson,https://www.youtube.com/watch?v=NA2X1040_gY
1973,23,We're an American Band,Grand Funk Railroad,https://www.youtube.com/watch?v=QxNXFNCTr2I
1973,24,Right Place Wrong Time,Dr. John,https://www.youtube.com/watch?v=G5zPqgQ67yo
1973,25,Wildflower,Skylark,https://www.youtube.com/watch?v=JYXVKqwHxuE
1973,26,Superstition,Stevie Wonder,https://www.youtube.com/watch?v=97hwNY3ni10
1973,27,Loves Me Like a Rock,Paul Simon,https://www.youtube.com/watch?v=CjFzw8AxSBA
1973,28,The Morning After,Maureen McGovern,https://www.youtube.com/watch?v=45CkDKnLCHM
1973,29,Rocky Mountain High,John Denver,https://www.youtube.com/watch?v=eWtJusRqoug
1973,30,Stuck in the Middle with You,Stealers Wheel,https://www.youtube.com/watch?v=ln7Vn_WKkWU
1973,31,Shambala,Three Dog Night,https://www.youtube.com/watch?v=LFbxd-rzv_4
1973,32,Love Train,The O'Jays,https://www.youtube.com/watch?v=SsYOAIR4L_w
1973,33,I'm Gonna Love You Just a Little More Baby,Barry White,https://www.youtube.com/watch?v=TOHoaP36hgA
1973,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,https://www.youtube.com/watch?v=3Q-m_CxQacM
1973,35,Keep on Truckin',Eddie Kendricks,https://www.youtube.com/watch?v=Mx43392TEbA
1973,36,Danny's Song,Anne Murray,https://www.youtube.com/watch?v=e5C255Pw7KI
1973,37,Dancing in the Moonlight,King Harvest,https://www.youtube.com/watch?v=SEb8tuYhDBI
1973,38,Monster Mash,Bobby 'Boris' Pickett,https://www.youtube.com/watch?v=-YpwUuoun2E
1973,39,Natural High,Bloodstone,https://www.youtube.com/watch?v=QBHBp-ZCoq4
1973,40,Diamond Girl,Seals and Crofts,https://www.youtube.com/watch?v=RC-oP84mRME
1973,41,Long Train Runnin',The Doobie Brothers,https://www.youtube.com/watch?v=m4tJSn0QtME
1973,42,Give Me Love (Give Me Peace on Earth),George Harrison,https://www.youtube.com/watch?v=ZbgCtrkam_U
1973,43,If You Want Me to Stay,Sly & the Family Stone,https://www.youtube.com/watch?v=gZFabOuF4Ps
1973,44,Daddy's Home,Jermaine Jackson,https://www.youtube.com/watch?v=Fx_Y_0K3Hx4
1973,45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,https://www.youtube.com/watch?v=i810mVyAZDw
1973,46,I'm Doin' Fine Now,New York City,https://www.youtube.com/watch?v=fBUO0YsK1WI
1973,47,Could It Be I'm Falling in Love,The Spinners,https://www.youtube.com/watch?v=EU4UTDrSwQc
1973,48,Daniel,Elton John,https://www.youtube.com/watch?v=0f0TMfQNRk8
1973,49,Midnight Train to Georgia,Gladys Knight & the Pips,https://www.youtube.com/watch?v=A0F9lh8TiSM
1973,50,Smoke on the Water,Deep Purple,https://www.youtube.com/watch?v=0WpKpcEORxo
1974,1,The Way We Were,Barbra Streisand,https://www.youtube.com/watch?v=ifWOSnoCS0M
1974,2,Seasons in the Sun,Terry Jacks,https://www.youtube.com/watch?v=bWdQbxNEFEs
1974,3,Love's Theme,Love Unlimited Orchestra,https://www.youtube.com/watch?v=RLTJ95kj9ng
1974,4,Come and Get Your Love,Redbone,https://www.youtube.com/watch?v=Dj0drevGOgA
1974,5,Dancing Machine,The Jackson 5,https://www.youtube.com/watch?v=VORrgGlgL28
1974,6,The Loco-Motion,Grand Funk Railroad,https://www.youtube.com/watch?v=7HRhEEm8Dic
1974,7,TSOP (The Sound of Philadelphia),MFSB,https://www.youtube.com/watch?v=LS2PQs_IRNk
1974,8,The Streak,Ray Stevens,https://www.youtube.com/watch?v=bkaiCPgQ6bg
1974,9,Bennie and the Jets,Elton John,https://www.youtube.com/watch?v=wo1OwRTRKRk
1974,10,One Hell of a Woman,Mac Davis,https://www.youtube.com/watch?v=yOlzeTVXBEY
1974,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,https://www.youtube.com/watch?v=Nbokg0KM-n8
1974,12,Jungle Boogie,Kool & the Gang,https://www.youtube.com/watch?v=-BM5wPOe0xQ
1974,13,Midnight at the Oasis,Maria Muldaur,https://www.youtube.com/watch?v=VlrKETxwRvM
1974,14,You Make Me Feel Brand New,The Stylistics,https://www.youtube.com/watch?v=dJm51jsRoo0
1974,15,Show and Tell,Al Wilson,https://www.youtube.com/watch?v=4qgXxFG-Mok
1974,16,Spiders and Snakes,Jim Stafford,https://www.youtube.com/watch?v=Je3EiwKArlQ
1974,17,Rock On,David Essex,https://www.youtube.com/watch?v=ckgGUhCuEJI
1974,18,Sunshine on My Shoulders,John Denver,https://www.youtube.com/watch?v=diwuu_r6GJE
1974,19,Sideshow,Blue Magic,https://www.youtube.com/watch?v=_Rs3vqF3nPo
1974,20,Hooked on a Feeling,Blue Swede,https://www.youtube.com/watch?v=w5jkAkm4JmM
1974,21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,https://www.youtube.com/watch?v=AjilwTUGE5g
1974,22,Band on the Run,Paul McCartney and Wings,https://www.youtube.com/watch?v=RjlvdcBAKdg
1974,23,The Most Beautiful Girl,Charlie Rich,https://www.youtube.com/watch?v=Ew60rig0Ej4
1974,24,Time in a Bottle,Jim Croce,https://www.youtube.com/watch?v=3yiYsbQ6oEo
1974,25,Annie's Song,John Denver,https://www.youtube.com/watch?v=eMCihEW3Tlc
1974,26,Let Me Be There,Olivia Newton-John,https://www.youtube.com/watch?v=rR8hCFfvZPk
1974,27,Sundown,Gordon Lightfoot,https://www.youtube.com/watch?v=YdBU-jpJJtA
1974,28,(You're) Having My Baby,Paul Anka,https://www.youtube.com/watch?v=SFHWl-ZyRAg
1974,29,Rock Me Gently,Andy Kim,https://www.youtube.com/watch?v=e00sWHSGfqQ
1974,30,Boogie Down,Eddie Kendricks,https://www.youtube.com/watch?v=OpU5ZTYlp1A
1974,31,You're Sixteen,Ringo Starr,https://www.youtube.com/watch?v=1U32szYVAY8
1974,32,If You Love Me (Let Me Know),Olivia Newton-John,https://www.youtube.com/watch?v=dkMkHpKpLkM
1974,33,Dark Lady,Cher,https://www.youtube.com/watch?v=JXUH7Wk8-WI
1974,34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,https://www.youtube.com/watch?v=8FT5QF4JZUA
1974,35,Feel Like Makin' Love,Roberta Flack,https://www.youtube.com/watch?v=xVybozv_L3M
1974,36,Just Don't Want to Be Lonely,The Main Ingredient,https://www.youtube.com/watch?v=MWCixfAT-3I
