year,rank,song,singer,url,found,bpm,key,spotifyTitle,spotifyArtist
1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,https://www.youtube.com/watch?v=PxG9XFqHSFw,0,,,,
1974,1,The Way We Were,Barbra Streisand,https://www.youtube.com/watch?v=ifWOSnoCS0M,1,138.108,A Major,The Way We Were,Barbra Streisand
1975,1,Love Will Keep Us Together,Captain & Tennille,https://www.youtube.com/watch?v=_QNEf9oGw8o,1,129.62,E Major,Love Will Keep Us Together,Captain & Tennille
1976,1,Silly Love Songs,Wings,https://www.youtube.com/watch?v=ap87QgZKTNw,1,124.95,C Major,Silly Love Songs - 2014 Remaster,Wings
1977,1,Tonight's the Night (Gonna Be Alright),Rod Stewart,https://www.youtube.com/watch?v=IZr6AE-u2UM,1,136.547,B Major,Tonight's the Night (Gonna Be Alright) - 2009 Remaster,Rod Stewart
1978,1,Shadow Dancing,Andy Gibb,https://www.youtube.com/watch?v=iQgb59Zg_E0,1,101.933,G Minor,Shadow Dancing,Andy Gibb
1979,1,My Sharona,The Knack,https://www.youtube.com/watch?v=BR2JtsVumFA,1,147.245,C Major,My Sharona,The Knack
1980,1,Call Me,Blondie,https://www.youtube.com/watch?v=StKVS0eI85I,1,142.667,D Minor,Call Me,Blondie
1981,1,Bette Davis Eyes,Kim Carnes,https://www.youtube.com/watch?v=EPOIS5taqA8,1,116.62,F Major,Bette Davis Eyes,Kim Carnes
1982,1,Physical,Olivia Newton-John,https://www.youtube.com/watch?v=vWz9VN40nCA,1,124.066,E Minor,Physical - Remastered 2021,Olivia Newton-John
1983,1,Every Breath You Take,The Police,https://www.youtube.com/watch?v=OMOGaugKpzs,1,117.401,Db Major,Every Breath You Take,The Police
1984,1,When Doves Cry,Prince,https://www.youtube.com/watch?v=UG3VcCAlUgE,1,126.468,A Minor,When Doves Cry,Prince
1985,1,Careless Whisper,Wham!,https://www.youtube.com/watch?v=izGwDsrQ1eQ,1,76.704,D Minor,Careless Whisper,Wham!
1986,1,That's What Friends Are For,"Dionne Warwick,Gladys Knight,Elton John,Stevie Wonder,",https://www.youtube.com/watch?v=HyTpu6BmE88,0,,,,
1987,1,Walk Like An Egyptian,The Bangles,https://www.youtube.com/watch?v=Cv6tuzHUuuk,0,,,,
1988,1,Faith,George Michael,https://www.youtube.com/watch?v=6Cs3Pvmmv0E,1,95.846,B Major,Faith - Remastered - featured in 'Babygirl',George Michael
1989,1,Look Away,Chicago,https://www.youtube.com/watch?v=2uKLTtVqQpE,1,85.959,A Major,Look Away - 2009 Remaster,Chicago
1990,1,Hold On,Wilson Phillips,https://www.youtube.com/watch?v=uIbXvaE39wM,1,97.801,F Major,Hold On,Wilson Phillips
1991,1,(Everything I Do) I Do It for You,Bryan Adams,https://www.youtube.com/watch?v=Y0pdQU87dc8,1,131.23,Db Major,(Everything I Do) I Do It For You,Bryan Adams
1992,1,End of the Road,Boyz II Men,https://www.youtube.com/watch?v=zDKO6XYXioc,1,149.705,F Minor,End Of The Road,Boyz II Men
1993,1,I Will Always Love You,Whitney Houston,https://www.youtube.com/watch?v=jyIA7rAwRcY,0,,,,
1994,1,The Sign,Ace of Base,https://www.youtube.com/watch?v=iqu132vTl5Y,1,96.987,E Minor,The Sign,Ace of Base
1995,1,Gangsta's Paradise,"Coolio,L.V.,",https://www.youtube.com/watch?v=fPO76Jlnz6c,1,79.975,Ab Major,Gangsta's Paradise,"Coolio, L.V."
